
# Surface 0 of 1 surfaces

# Curve title: ""pgf-graphs-01_contourtmp9.dat""

# Contour 0, label:       20
 4.99984  2.22692  20 
 4.93112  2.08322  20 
 4.76808  1.66656  20 
 4.64127  1.2499  20 
 4.58318  0.982654  20 
 4.54761  0.83324  20 
 4.48809  0.41658  20 
 4.46826 -7.999e-05  20 
 4.48811 -0.41674  20 
 4.54764 -0.8334  20 
 4.58318 -0.982664  20 
 4.64132 -1.25006  20 
 4.76813 -1.66672  20 
 4.93118 -2.08338  20 
 4.99984 -2.22692  20 

-5  2.22727  20 
-4.93111  2.08322  20 
-4.76808  1.66656  20 
-4.64128  1.2499  20 
-4.58334  0.983358  20 
-4.5476  0.83324  20 
-4.48809  0.41658  20 
-4.46825 -7.999e-05  20 
-4.4881 -0.41674  20 
-4.54763 -0.8334  20 
-4.58334 -0.983367  20 
-4.64132 -1.25006  20 
-4.76813 -1.66672  20 
-4.93118 -2.08338  20 
-5 -2.22727  20 


# Contour 1, label:       10
 4.99984  3.86822  10 
 4.90207  3.74986  10 
 4.5941  3.3332  10 
 4.58318  3.31645  10 
 4.29753  2.91654  10 
 4.16652  2.7049  10 
 4.02624  2.49988  10 
 3.78502  2.08322  10 
 3.74986  2.00899  10 
 3.56858  1.66656  10 
 3.39702  1.2499  10 
 3.3332  1.03291  10 
 3.26665  0.83324  10 
 3.18332  0.41658  10 
 3.15556 -7.999e-05  10 
 3.18334 -0.41674  10 
 3.26669 -0.8334  10 
 3.3332 -1.03291  10 
 3.39707 -1.25006  10 
 3.56865 -1.66672  10 
 3.74986 -2.00898  10 
 3.78511 -2.08338  10 
 4.02634 -2.50004  10 
 4.16652 -2.7049  10 
 4.29764 -2.9167  10 
 4.58318 -3.31644  10 
 4.59422 -3.33336  10 
 4.90219 -3.75002  10 
 4.99984 -3.86822  10 

-5  3.86842  10 
-4.90206  3.74986  10 
-4.59411  3.3332  10 
-4.58334  3.31668  10 
-4.29754  2.91654  10 
-4.16668  2.70515  10 
-4.02624  2.49988  10 
-3.78503  2.08322  10 
-3.75002  2.00931  10 
-3.56858  1.66656  10 
-3.39702  1.2499  10 
-3.33336  1.03342  10 
-3.26664  0.83324  10 
-3.18332  0.41658  10 
-3.15555 -7.999e-05  10 
-3.18334 -0.41674  10 
-3.26668 -0.8334  10 
-3.33336 -1.03342  10 
-3.39708 -1.25006  10 
-3.56865 -1.66672  10 
-3.75002 -2.0093  10 
-3.78511 -2.08338  10 
-4.02634 -2.50004  10 
-4.16668 -2.70515  10 
-4.29764 -2.9167  10 
-4.58334 -3.31667  10 
-4.59422 -3.33336  10 
-4.90219 -3.75002  10 
-5 -3.86842  10 


# Contour 2, label:        0
 4.99984 -4.99983  0 
 4.58333 -4.58334  0 
 4.58318 -4.58317  0 
 4.16667 -4.16668  0 
 4.16652 -4.16651  0 
 3.75001 -3.75002  0 
 3.74986 -3.74985  0 
 3.33335 -3.33336  0 
 3.3332 -3.33319  0 
 2.91669 -2.9167  0 
 2.91654 -2.91653  0 
 2.50003 -2.50004  0 
 2.49988 -2.49987  0 
 2.08337 -2.08338  0 
 2.08322 -2.0832  0 
 1.6667 -1.66672  0 
 1.66656 -1.66654  0 
 1.25004 -1.25006  0 
 1.2499 -1.24987  0 
 0.833368 -0.8334  0 
 0.83324 -0.833187  0 
 0.416687 -0.41674  0 
 0.41658 -0.41642  0 
-7.999e-05 -7.999e-05  0 
-0.41674 -0.41674  0 
-0.8334 -0.8334  0 
-1.25006 -1.25006  0 
-1.66672 -1.66672  0 
-2.08338 -2.08338  0 
-2.50004 -2.50004  0 
-2.9167 -2.9167  0 
-3.33336 -3.33336  0 
-3.75002 -3.75002  0 
-4.16668 -4.16668  0 
-4.58334 -4.58334  0 
-5 -5  0 

-4.99983  4.99984  0 
-4.58334  4.58333  0 
-4.58317  4.58318  0 
-4.16668  4.16667  0 
-4.16651  4.16652  0 
-3.75002  3.75001  0 
-3.74985  3.74986  0 
-3.33336  3.33335  0 
-3.33319  3.3332  0 
-2.9167  2.91669  0 
-2.91653  2.91654  0 
-2.50004  2.50003  0 
-2.49987  2.49988  0 
-2.08338  2.08337  0 
-2.0832  2.08322  0 
-1.66672  1.6667  0 
-1.66654  1.66656  0 
-1.25006  1.25004  0 
-1.24987  1.2499  0 
-0.8334  0.833368  0 
-0.833187  0.83324  0 
-0.41674  0.416687  0 
-0.41642  0.41658  0 
-7.999e-05 -7.999e-05  0 
 0.41658  0.41658  0 
 0.83324  0.83324  0 
 1.2499  1.2499  0 
 1.66656  1.66656  0 
 2.08322  2.08322  0 
 2.49988  2.49988  0 
 2.91654  2.91654  0 
 3.3332  3.3332  0 
 3.74986  3.74986  0 
 4.16652  4.16652  0 
 4.58318  4.58318  0 
 4.99984  4.99984  0 


# Contour 3, label:      -10
-3.86842 -5 -10 
-3.75002 -4.90219 -10 
-3.33336 -4.59422 -10 
-3.31667 -4.58334 -10 
-2.9167 -4.29764 -10 
-2.70515 -4.16668 -10 
-2.50004 -4.02634 -10 
-2.08338 -3.78511 -10 
-2.0093 -3.75002 -10 
-1.66672 -3.56865 -10 
-1.25006 -3.39708 -10 
-1.03342 -3.33336 -10 
-0.8334 -3.26668 -10 
-0.41674 -3.18334 -10 
-7.999e-05 -3.15555 -10 
 0.41658 -3.18332 -10 
 0.83324 -3.26664 -10 
 1.03342 -3.33336 -10 
 1.2499 -3.39702 -10 
 1.66656 -3.56858 -10 
 2.00931 -3.75002 -10 
 2.08322 -3.78503 -10 
 2.49988 -4.02624 -10 
 2.70515 -4.16668 -10 
 2.91654 -4.29754 -10 
 3.31668 -4.58334 -10 
 3.3332 -4.59411 -10 
 3.74986 -4.90206 -10 
 3.86842 -5 -10 

-3.86822  4.99984 -10 
-3.75002  4.90219 -10 
-3.33336  4.59422 -10 
-3.31644  4.58318 -10 
-2.9167  4.29764 -10 
-2.7049  4.16652 -10 
-2.50004  4.02634 -10 
-2.08338  3.78511 -10 
-2.00898  3.74986 -10 
-1.66672  3.56865 -10 
-1.25006  3.39707 -10 
-1.03291  3.3332 -10 
-0.8334  3.26669 -10 
-0.41674  3.18334 -10 
-7.999e-05  3.15556 -10 
 0.41658  3.18332 -10 
 0.83324  3.26665 -10 
 1.03291  3.3332 -10 
 1.2499  3.39702 -10 
 1.66656  3.56858 -10 
 2.00899  3.74986 -10 
 2.08322  3.78502 -10 
 2.49988  4.02624 -10 
 2.7049  4.16652 -10 
 2.91654  4.29753 -10 
 3.31645  4.58318 -10 
 3.3332  4.5941 -10 
 3.74986  4.90207 -10 
 3.86822  4.99984 -10 


# Contour 4, label:      -20
-2.22727 -5 -20 
-2.08338 -4.93118 -20 
-1.66672 -4.76813 -20 
-1.25006 -4.64132 -20 
-0.983367 -4.58334 -20 
-0.8334 -4.54763 -20 
-0.41674 -4.4881 -20 
-7.999e-05 -4.46825 -20 
 0.41658 -4.48809 -20 
 0.83324 -4.5476 -20 
 0.983358 -4.58334 -20 
 1.2499 -4.64128 -20 
 1.66656 -4.76808 -20 
 2.08322 -4.93111 -20 
 2.22727 -5 -20 

-2.22692  4.99984 -20 
-2.08338  4.93118 -20 
-1.66672  4.76813 -20 
-1.25006  4.64132 -20 
-0.982664  4.58318 -20 
-0.8334  4.54764 -20 
-0.41674  4.48811 -20 
-7.999e-05  4.46826 -20 
 0.41658  4.48809 -20 
 0.83324  4.54761 -20 
 0.982654  4.58318 -20 
 1.2499  4.64127 -20 
 1.66656  4.76808 -20 
 2.08322  4.93112 -20 
 2.22692  4.99984 -20 

