
# Surface 0 of 1 surfaces

# Curve title: ""pgffigures/pgf-graphs-01-figure84_contourtmp0.dat""

# Contour 0, label:     -0.2
-0.833338  0.857095 -0.2 
-0.887355  0.833322 -0.2 
-1  0.781307 -0.2 
-1.13544  0.666656 -0.2 
-1.16667  0.6332 -0.2 
-1.26222  0.49999 -0.2 
-1.33334  0.34378 -0.2 
-1.33788  0.333324 -0.2 
-1.38211  0.166658 -0.2 
-1.39625 -8.3e-06 -0.2 
-1.38211 -0.166674 -0.2 
-1.33788 -0.33334 -0.2 
-1.33334 -0.343797 -0.2 
-1.26222 -0.500006 -0.2 
-1.16667 -0.633216 -0.2 
-1.13544 -0.666672 -0.2 
-1 -0.781324 -0.2 
-0.887355 -0.833338 -0.2 
-0.833338 -0.857112 -0.2 
-0.666672 -0.873231 -0.2 
-0.548382 -0.833338 -0.2 
-0.500006 -0.816729 -0.2 
-0.358202 -0.666672 -0.2 
-0.33334 -0.631308 -0.2 
-0.282502 -0.500006 -0.2 
-0.241762 -0.33334 -0.2 
-0.219898 -0.166674 -0.2 
-0.213 -8.3e-06 -0.2 
-0.219898  0.166658 -0.2 
-0.241762  0.333324 -0.2 
-0.282502  0.49999 -0.2 
-0.33334  0.631292 -0.2 
-0.358202  0.666656 -0.2 
-0.500006  0.816713 -0.2 
-0.548382  0.833322 -0.2 
-0.666672  0.873214 -0.2 
-0.833338  0.857095 -0.2 


# Contour 1, label:     -0.1
-0.833338  1.1973 -0.1 
-0.923408  1.16665 -0.1 
-1  1.14356 -0.1 
-1.16667  1.05013 -0.1 
-1.2283  0.999988 -0.1 
-1.33334  0.903798 -0.1 
-1.39551  0.833322 -0.1 
-1.5  0.676832 -0.1 
-1.50654  0.666656 -0.1 
-1.59085  0.49999 -0.1 
-1.6418  0.333324 -0.1 
-1.66667  0.182903 -0.1 
-1.67003  0.166658 -0.1 
-1.68176 -8.3e-06 -0.1 
-1.67003 -0.166674 -0.1 
-1.66667 -0.182895 -0.1 
-1.6418 -0.33334 -0.1 
-1.59085 -0.500006 -0.1 
-1.50652 -0.666672 -0.1 
-1.5 -0.676823 -0.1 
-1.3955 -0.833338 -0.1 
-1.33334 -0.903795 -0.1 
-1.22828 -1 -0.1 
-1.16667 -1.05013 -0.1 
-1 -1.14356 -0.1 
-0.923376 -1.16667 -0.1 
-0.833338 -1.19731 -0.1 
-0.666672 -1.20934 -0.1 
-0.502981 -1.16667 -0.1 
-0.500006 -1.166 -0.1 
-0.33334 -1.04878 -0.1 
-0.300962 -1 -0.1 
-0.213339 -0.833338 -0.1 
-0.166674 -0.695383 -0.1 
-0.160321 -0.666672 -0.1 
-0.131999 -0.500006 -0.1 
-0.114876 -0.33334 -0.1 
-0.105695 -0.166674 -0.1 
-0.102794 -8.3e-06 -0.1 
-0.105695  0.166658 -0.1 
-0.114876  0.333324 -0.1 
-0.131999  0.49999 -0.1 
-0.160321  0.666656 -0.1 
-0.166674  0.695385 -0.1 
-0.213313  0.833322 -0.1 
-0.300882  0.999988 -0.1 
-0.33334  1.04887 -0.1 
-0.500006  1.16599 -0.1 
-0.502981  1.16665 -0.1 
-0.666672  1.20932 -0.1 
-0.833338  1.1973 -0.1 

